number,language,score
145,rwanda,0.5362318840579711
146,sa'a,0.1594202898550724
147,sardinian,0.1739130434782608
148,sarua,0.3188405797101449
149,satawalese,0.144927536231884
150,serbian,0.2294685990338164
151,serer,0.5507246376811594
152,sesotho,0.6666666666666666
153,shan,0.4202898550724637
154,shilluk,0.4202898550724637
155,shona,0.0434782608695652
156,sicilian,0.3333333333333333
157,sindhi,0.217391304347826
158,sinhala,0.6521739130434783
159,slovak,0.1594202898550724
160,slovenian,0.2681159420289855
161,somali,0.3454106280193237
162,spanish,0.2558597244587583
163,sundanese,0.7246376811594203
164,susu,0.144927536231884
165,swedish,0.1594202898550724
166,sylheti,0.7391304347826086
167,synthesized,0.2753623188405797
168,tagalog,0.1537842190016102
169,taishan,0.1594202898550724
170,taiwanese,0.2916666666666667
171,tajiki,0.2270531400966183
172,tamil,0.1763285024154589
173,tatar,0.0434782608695652
174,telugu,0.1884057971014492
175,temne,0.0869565217391304
176,teochew,0.4202898550724637
177,thai,0.3497584541062801
178,tibetan,0.2657004830917874
179,tigrigna,0.2807971014492754
180,tswana,0.8260869565217391
181,turkish,0.2647865256560908
182,turkmen,0.4057971014492754
183,twi,0.2144927536231883
184,ukrainian,0.4097496706192358
185,urdu,0.1875
186,uyghur,0.3478260869565218
187,uzbek,0.4456521739130434
188,vietnamese,0.3853754940711462
189,vlaams,0.1014492753623188
190,wolof,0.5024154589371981
191,wu,0.144927536231884
192,xasonga,0.4347826086956521
193,xiang,0.1630434782608695
194,yakut,0.1594202898550724
195,yapese,0.1014492753623188
196,yiddish,0.2405797101449275
197,yoruba,0.3507246376811594
198,yupik,0.6956521739130435
199,zulu,0.1304347826086956
