number,language,score
152,sesotho,0.2463768115942029
153,shan,0.4492753623188406
154,shilluk,0.1159420289855072
155,shona,0.0217391304347826
156,sicilian,0.1884057971014492
157,sindhi,0.0869565217391304
158,sinhala,0.5072463768115942
159,slovak,0.0869565217391304
160,slovenian,0.0507246376811594
161,somali,0.1376811594202898
162,spanish,0.1519055287171228
163,sundanese,0.2463768115942029
164,susu,0.0289855072463768
165,swedish,0.0891304347826087
166,sylheti,0.5072463768115942
167,synthesized,0.1594202898550724
168,tagalog,0.0909822866344605
169,taishan,0.144927536231884
170,taiwanese,0.2047101449275362
171,tajiki,0.1497584541062802
172,tamil,0.0628019323671497
173,tatar,0.0289855072463768
174,telugu,0.1304347826086956
175,temne,0.1594202898550724
176,teochew,0.1304347826086956
177,thai,0.2164251207729468
178,tibetan,0.2270531400966183
179,tigrigna,0.1394927536231884
180,tswana,0.0942028985507246
181,turkish,0.1480611045828437
182,turkmen,0.1594202898550724
183,twi,0.1768115942028985
184,ukrainian,0.1383399209486166
185,urdu,0.0688405797101449
186,uyghur,0.2415458937198067
187,uzbek,0.2065217391304347
188,vietnamese,0.2516469038208169
189,vlaams,0.0507246376811594
190,wolof,0.1280193236714976
191,wu,0.1159420289855072
192,xasonga,0.2753623188405797
193,xiang,0.0978260869565217
194,yakut,0.144927536231884
195,yapese,0.0869565217391304
196,yiddish,0.1101449275362318
197,yoruba,0.1478260869565217
198,yupik,0.0144927536231884
199,zulu,0.144927536231884
